,bed1_averageRent,bed1_minRent,bed1_maxRent,bed1_totalRentals,bed2_averageRent,bed2_minRent,bed2_maxRent,bed2_totalRentals,bed3_averageRent,bed3_minRent,bed3_maxRent,bed3_totalRentals,bed4_averageRent,bed4_minRent,bed4_maxRent,bed4_totalRentals,bed5_averageRent,bed5_minRent,bed5_maxRent,bed5_totalRentals,bed0_averageRent,bed0_minRent,bed0_maxRent,bed0_totalRentals
94601,1711.15,920.0,2875.0,59.0,2514.56,1969.0,3700.0,43.0,3188.86,2207.0,4975.0,22.0,3473.75,3195.0,3750.0,4.0,,,,,1690.44,1100.0,2874.0,18.0
94602,1901.7,1650.0,2695.0,20.0,2580.38,1900.0,3900.0,34.0,3416.73,2050.0,5000.0,15.0,6800.0,6800.0,6800.0,1.0,4750.0,4750.0,4750.0,1.0,1837.0,1398.0,2500.0,4.0
94603,1726.67,995.0,2300.0,12.0,2191.67,1650.0,2700.0,15.0,2855.39,1800.0,3607.0,18.0,3350.0,2725.0,3900.0,5.0,,,,,1165.0,995.0,1500.0,3.0
94605,1885.23,1550.0,2200.0,13.0,2481.8,1795.0,4100.0,46.0,3400.75,2295.0,5500.0,28.0,4319.72,950.0,8900.0,18.0,4375.0,4375.0,4375.0,1.0,1647.86,1300.0,1900.0,7.0
94606,1885.75,1300.0,2500.0,96.0,2421.88,1500.0,3995.0,43.0,3007.08,2280.0,4595.0,26.0,5500.0,5500.0,5500.0,1.0,6999.0,6999.0,6999.0,1.0,1653.3,900.0,3995.0,37.0
94607,1999.7,795.0,3500.0,66.0,2972.76,1895.0,4800.0,68.0,3228.94,2395.0,5400.0,34.0,3026.7,1190.0,4995.0,10.0,3965.71,1190.0,5495.0,7.0,1852.53,1400.0,2786.0,32.0
94608,2469.64,800.0,3570.0,121.0,3215.42,1750.0,5500.0,71.0,3405.53,1400.0,5250.0,36.0,3809.14,1153.0,4700.0,14.0,4995.0,4995.0,4995.0,1.0,2405.8,1595.0,3480.0,35.0
94609,1989.77,1150.0,3000.0,52.0,2784.53,1758.0,6000.0,36.0,3507.81,2195.0,4995.0,16.0,3620.0,3295.0,3945.0,2.0,3997.5,3995.0,4000.0,2.0,1958.16,1495.0,2950.0,19.0
94610,2211.89,1450.0,2995.0,109.0,2946.61,1895.0,5000.0,56.0,4536.08,2898.0,6000.0,12.0,7028.0,4990.0,8900.0,5.0,,,,,1761.83,1450.0,2095.0,23.0
94611,2303.44,1300.0,3650.0,64.0,3350.33,2095.0,4630.0,30.0,5447.81,3725.0,8200.0,16.0,7248.53,4180.0,10500.0,17.0,8197.5,6800.0,9500.0,4.0,2039.21,1400.0,3320.0,19.0
94612,2517.98,1200.0,4330.0,103.0,3216.94,1395.0,5295.0,35.0,2979.5,1995.0,4300.0,6.0,3688.33,3500.0,4065.0,3.0,3295.0,3295.0,3295.0,1.0,1908.75,795.0,3677.0,104.0
94618,2106.36,700.0,3300.0,22.0,4079.62,2900.0,5600.0,13.0,5739.0,3995.0,9800.0,5.0,8448.75,5900.0,11900.0,4.0,,,,,2324.4,1575.0,3973.0,5.0
